Title,Author,Average Rating,Number of Ratings,Score,Links
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,9290502,2612223,https://www.goodreads.com/book/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.29,2698990,1308195,https://www.goodreads.com/book/book/show/28187.The_Lightning_Thief
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,7975157,1053445,https://www.goodreads.com/book/book/show/2767052-the-hunger-games
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,6165352,1015721,https://www.goodreads.com/book/book/show/41865.Twilight
"The Giver (The Giver, #1)",Lois Lowry,4.12,2288681,955488,https://www.goodreads.com/book/book/show/3636.The_Giver
The Fault in Our Stars,John Green,4.15,4769772,919516,https://www.goodreads.com/book/book/show/11870085-the-fault-in-our-stars
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1917172,911968,https://www.goodreads.com/book/book/show/256683.City_of_Bones
"Divergent (Divergent, #1)",Veronica Roth,4.15,3711497,867017,https://www.goodreads.com/book/book/show/13335037-divergent
The Book Thief,Markus Zusak,4.39,2368134,714645,https://www.goodreads.com/book/book/show/19063.The_Book_Thief
To Kill a Mockingbird,Harper Lee,4.27,5698672,713081,https://www.goodreads.com/book/book/show/2657.To_Kill_a_Mockingbird
The Perks of Being a Wallflower,Stephen Chbosky,4.22,1661555,642977,https://www.goodreads.com/book/book/show/22628.The_Perks_of_Being_a_Wallflower
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,3667722,626511,https://www.goodreads.com/book/book/show/5907.The_Hobbit
"Holes (Holes, #1)",Louis Sachar,3.99,1139637,554415,https://www.goodreads.com/book/book/show/38709.Holes
The Outsiders,S.E. Hinton,4.12,1222681,491921,https://www.goodreads.com/book/book/show/231804.The_Outsiders
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.01,1467036,458414,https://www.goodreads.com/book/book/show/119322.The_Golden_Compass
"The Host (The Host, #1)",Stephenie Meyer,3.85,978141,446864,https://www.goodreads.com/book/book/show/1656001.The_Host
Looking for Alaska,John Green,3.98,1487902,433581,https://www.goodreads.com/book/book/show/99561.Looking_for_Alaska
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,627040,424476,https://www.goodreads.com/book/book/show/345627.Vampire_Academy
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.94,1677576,415051,https://www.goodreads.com/book/book/show/113436.Eragon
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.99,1154243,394896,https://www.goodreads.com/book/book/show/33574273-a-wrinkle-in-time
"Uglies (Uglies, #1)",Scott Westerfeld,3.85,637731,383618,https://www.goodreads.com/book/book/show/24770.Uglies
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.32,797310,366225,https://www.goodreads.com/book/book/show/7171637-clockwork-angel
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,,,336052,https://www.goodreads.com/book/book/show/24337.Ella_Enchanted
Bridge to Terabithia,Katherine Paterson,4.04,521272,330105,https://www.goodreads.com/book/book/show/40940121-bridge-to-terabithia
Pride and Prejudice,Jane Austen,4.28,3949851,318044,https://www.goodreads.com/book/book/show/1885.Pride_and_Prejudice
Little Women,Louisa May Alcott,4.14,2088089,297594,https://www.goodreads.com/book/book/show/1934.Little_Women
Speak,Laurie Halse Anderson,4.04,565829,295130,https://www.goodreads.com/book/book/show/39280444-speak
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.04,1405526,288348,https://www.goodreads.com/book/book/show/6186357-the-maze-runner
Charlotte's Web,E.B. White,4.19,1726628,287443,https://www.goodreads.com/book/book/show/24178.Charlotte_s_Web
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.31,779561,282218,https://www.goodreads.com/book/book/show/7736182-the-lost-hero
The Little Prince,Antoine de Saint-Exupéry,4.32,1927346,279973,https://www.goodreads.com/book/book/show/157993.The_Little_Prince
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,443594,265212,https://www.goodreads.com/book/book/show/3236307-graceling
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,3.99,490811,262150,https://www.goodreads.com/book/book/show/78411.The_Bad_Beginning
Number the Stars,Lois Lowry,4.18,536915,257463,https://www.goodreads.com/book/book/show/47281.Number_the_Stars
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1310427,256053,https://www.goodreads.com/book/book/show/375802.Ender_s_Game
"Inkheart (Inkworld, #1)",Cornelia Funke,3.91,409900,255399,https://www.goodreads.com/book/book/show/28194.Inkheart
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.93,677942,251188,https://www.goodreads.com/book/book/show/6339664-hush-hush
Thirteen Reasons Why,Jay Asher,3.86,928674,249693,https://www.goodreads.com/book/book/show/29844228-thirteen-reasons-why
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.15,804395,248813,https://www.goodreads.com/book/book/show/6310.Charlie_and_the_Chocolate_Factory
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.3,919713,242953,https://www.goodreads.com/book/book/show/8127.Anne_of_Green_Gables
The Secret Garden,Frances Hodgson Burnett,4.15,1099265,239032,https://www.goodreads.com/book/book/show/2998.The_Secret_Garden
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.86,536784,230398,https://www.goodreads.com/book/book/show/249747.Artemis_Fowl
"Stargirl (Stargirl, #1)",Jerry Spinelli,3.77,320173,221511,https://www.goodreads.com/book/book/show/22232.Stargirl
Island of the Blue Dolphins,Scott O'Dell,3.86,322689,204439,https://www.goodreads.com/book/book/show/41044096-island-of-the-blue-dolphins
Tuck Everlasting,Natalie Babbitt,3.89,263034,202454,https://www.goodreads.com/book/book/show/84981.Tuck_Everlasting
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.83,684798,189995,https://www.goodreads.com/book/book/show/452306.The_Sisterhood_of_the_Traveling_Pants
Lord of the Flies,William Golding,3.69,2742189,188211,https://www.goodreads.com/book/book/show/7624.Lord_of_the_Flies
"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,3.89,272199,188023,https://www.goodreads.com/book/book/show/307791.The_City_of_Ember
Paper Towns,John Green,3.72,1261460,177626,https://www.goodreads.com/book/book/show/6442769-paper-towns
Coraline,Neil Gaiman,4.1,630386,177361,https://www.goodreads.com/book/book/show/17061.Coraline
"The Angel Experiment (Maximum Ride, #1)",James Patterson,4.07,220108,174281,https://www.goodreads.com/book/book/show/13152.The_Angel_Experiment
The Catcher in the Rye,J.D. Salinger,3.81,3319507,170483,https://www.goodreads.com/book/book/show/5107.The_Catcher_in_the_Rye
"Marked (House of Night, #1)",P.C. Cast,3.81,477632,170233,https://www.goodreads.com/book/book/show/30183.Marked
The Phantom Tollbooth,Norton Juster,4.19,275969,168564,https://www.goodreads.com/book/book/show/378.The_Phantom_Tollbooth
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,867462,165463,https://www.goodreads.com/book/book/show/36381037-cinder
"Hatchet (Brian's Saga, #1)",Gary Paulsen,3.77,369554,162472,https://www.goodreads.com/book/book/show/50.Hatchet
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,470360,159272,https://www.goodreads.com/book/book/show/6068551-shiver
The Princess Bride,William Goldman,4.26,870901,151063,https://www.goodreads.com/book/book/show/21787.The_Princess_Bride
The Westing Game,Ellen Raskin,4.01,200880,147758,https://www.goodreads.com/book/book/show/902.The_Westing_Game
"The Selection (The Selection, #1)",Kiera Cass,4.09,1410074,144925,https://www.goodreads.com/book/book/show/10507293-the-selection
Just Listen,Sarah Dessen,4.05,244515,144597,https://www.goodreads.com/book/book/show/51738.Just_Listen
A Little Princess,Frances Hodgson Burnett,4.22,297340,143262,https://www.goodreads.com/book/book/show/3008.A_Little_Princess
"Are You There God? It's Me, Margaret",Judy Blume,3.93,214013,140846,https://www.goodreads.com/book/book/show/37732.Are_You_There_God_It_s_Me_Margaret
Where the Red Fern Grows,Wilson Rawls,4.1,388862,138360,https://www.goodreads.com/book/book/show/10365.Where_the_Red_Fern_Grows
"Fallen (Fallen, #1)",Lauren Kate,3.72,565751,138150,https://www.goodreads.com/book/book/show/6487308-fallen
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,307267,137300,https://www.goodreads.com/book/book/show/6294.Howl_s_Moving_Castle
"Matched (Matched, #1)",Ally Condie,3.63,750089,135336,https://www.goodreads.com/book/book/show/7735333-matched
The Truth About Forever,Sarah Dessen,4.12,220119,134776,https://www.goodreads.com/book/book/show/51737.The_Truth_About_Forever
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,3.84,186178,132370,https://www.goodreads.com/book/book/show/852470.I_d_Tell_You_I_Love_You_But_Then_I_d_Have_to_Kill_You
"Princess Academy (Princess Academy, #1)",Shannon Hale,4.03,113703,130146,https://www.goodreads.com/book/book/show/85990.Princess_Academy
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.79,219635,130095,https://www.goodreads.com/book/book/show/3682.A_Great_and_Terrible_Beauty
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1413523,129418,https://www.goodreads.com/book/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
"Delirium (Delirium, #1)",Lauren Oliver,3.96,457073,128339,https://www.goodreads.com/book/book/show/11614718-delirium
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77,585331,128233,https://www.goodreads.com/book/book/show/6304335-beautiful-creatures
Because of Winn-Dixie,Kate DiCamillo,4.08,244412,120381,https://www.goodreads.com/book/book/show/357664.Because_of_Winn_Dixie
Black Beauty,Anna Sewell,3.98,268261,112878,https://www.goodreads.com/book/book/show/3685.Black_Beauty
"Legend (Legend, #1)",Marie Lu,4.16,503912,112849,https://www.goodreads.com/book/book/show/9275658-legend
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15,191083,112477,https://www.goodreads.com/book/book/show/19302.Pippi_Longstocking
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.27,126677,112206,https://www.goodreads.com/book/book/show/13831.Alanna
"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,4.13,140968,109137,https://www.goodreads.com/book/book/show/179064.The_Goose_Girl
"Watership Down (Watership Down, #1)",Richard  Adams,4.08,467803,108288,https://www.goodreads.com/book/book/show/76620.Watership_Down
"Sabriel (Abhorsen,  #1)",Garth Nix,4.16,202113,103064,https://www.goodreads.com/book/book/show/518848.Sabriel
Where the Sidewalk Ends,Shel Silverstein,4.33,1337439,103047,https://www.goodreads.com/book/book/show/30119.Where_the_Sidewalk_Ends
The Graveyard Book,Neil Gaiman,4.15,512408,100160,https://www.goodreads.com/book/book/show/2213661.The_Graveyard_Book
Walk Two Moons,Sharon Creech,3.99,163988,99491,https://www.goodreads.com/book/book/show/53496.Walk_Two_Moons
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.15,205563,98760,https://www.goodreads.com/book/book/show/3980.From_the_Mixed_Up_Files_of_Mrs_Basil_E_Frankweiler
Go Ask Alice,Beatrice Sparks,3.75,265684,98555,https://www.goodreads.com/book/book/show/46799.Go_Ask_Alice
"Fablehaven (Fablehaven, #1)",Brandon Mull,4.12,157472,94132,https://www.goodreads.com/book/book/show/44652.Fablehaven
Flipped,Wendelin Van Draanen,3.98,112523,93166,https://www.goodreads.com/book/book/show/331920.Flipped
"The Summoning (Darkest Powers, #1)",Kelley Armstrong,4.02,168563,91945,https://www.goodreads.com/book/book/show/2800905-the-summoning
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.07,259177,87081,https://www.goodreads.com/book/book/show/693208.The_Absolutely_True_Diary_of_a_Part_Time_Indian
The Lovely Bones,Alice Sebold,3.84,2269378,84987,https://www.goodreads.com/book/book/show/12232938-the-lovely-bones
"Evermore (The Immortals, #1)",Alyson Noel,3.59,284835,84400,https://www.goodreads.com/book/book/show/3975774-evermore
"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix,3.99,121589,83864,https://www.goodreads.com/book/book/show/227651.Among_the_Hidden
"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",Robert C. O'Brien,4.16,174546,81890,https://www.goodreads.com/book/book/show/9822.Mrs_Frisby_and_the_Rats_of_NIMH
The Witch of Blackbird Pond,Elizabeth George Speare,4.01,147673,80928,https://www.goodreads.com/book/book/show/703292.The_Witch_of_Blackbird_Pond
"The Princess Diaries (The Princess Diaries, #1)",Meg Cabot,3.8,249484,80532,https://www.goodreads.com/book/book/show/38980.The_Princess_Diaries
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.62,926,71701,https://www.goodreads.com/book/book/show/60288648-the-chain-between-worlds
This Lullaby,Sarah Dessen,4.02,177184,69521,https://www.goodreads.com/book/book/show/22205.This_Lullaby
"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,4.08,89438,65264,https://www.goodreads.com/book/book/show/13376.The_House_of_the_Scorpion
